"","displayName","week_num","tot_tackles","tot_tackles_forloss","tot_ffumbles","tot_missed_tackles","tot_prevents","tot_assists","tot_ips"
"1","A'Shawn Robinson",1,1,0,0,2,0,3,0
"2","A'Shawn Robinson",2,2,0,0,0,0,2,0
"3","A'Shawn Robinson",3,2,0,0,0,0,0,0
"4","A'Shawn Robinson",4,1,0,0,0,0,1,0
"5","A'Shawn Robinson",5,4,0,0,0,0,3,0
"6","A'Shawn Robinson",6,3,0,0,0,0,3,0
"7","A'Shawn Robinson",8,2,1,0,0,0,1,0
"8","A'Shawn Robinson",9,1,0,0,1,0,5,0
"9","A.J. Epenesa",2,1,0,0,0,0,1,0
"10","A.J. Epenesa",4,0,0,0,1,0,0,0
"11","A.J. Epenesa",5,0,0,0,1,0,0,0
"12","A.J. Epenesa",6,0,0,0,1,0,0,0
"13","A.J. Epenesa",8,0,0,0,1,0,0,0
"14","A.J. Epenesa",9,0,0,0,1,0,0,0
"15","A.J. Klein",8,3,1,0,2,0,1,0
"16","A.J. Parker",5,4,0,0,0,1,2,0
"17","A.J. Parker",7,3,0,0,0,0,0,0
"18","A.J. Parker",8,3,0,0,0,0,0,0
"19","A.J. Terrell",1,3,0,0,2,0,1,0
"20","A.J. Terrell",2,6,0,0,0,0,3,0
"21","A.J. Terrell",3,6,0,0,0,1,0,0
"22","A.J. Terrell",4,0,0,0,2,0,2,0
"23","A.J. Terrell",5,1,0,0,3,0,1,0
"24","A.J. Terrell",6,2,0,0,1,0,2,0
"25","A.J. Terrell",7,1,0,0,0,0,0,0
"26","Aaron Donald",2,0,0,0,0,0,2,0
"27","Aaron Donald",3,3,1,0,0,1,2,0
"28","Aaron Donald",4,4,2,0,0,1,1,0
"29","Aaron Donald",5,0,0,0,0,0,4,0
"30","Aaron Donald",6,0,0,0,0,0,4,0
"31","Aaron Donald",8,5,1,0,0,1,2,0
"32","Aaron Donald",9,1,0,0,1,0,1,0
"33","Aaron Robinson",1,4,0,0,0,0,0,0
"34","Aaron Robinson",4,1,0,0,0,0,0,0
"35","Abdullah Anderson",2,2,1,0,0,0,0,0
"36","Abdullah Anderson",4,1,0,0,0,0,1,0
"37","Abdullah Anderson",5,0,0,0,0,0,1,0
"38","Abdullah Anderson",6,1,0,0,1,0,1,0
"39","Abdullah Anderson",7,0,0,0,1,0,1,0
"40","Abdullah Anderson",8,1,0,0,0,0,0,0
"41","Abdullah Anderson",9,1,0,0,1,0,0,0
"42","Adam Gotsis",1,1,0,0,0,0,0,0
"43","Adam Gotsis",2,1,0,0,0,0,0,0
"44","Adam Gotsis",3,1,1,0,0,1,0,1
"45","Adam Gotsis",4,0,0,0,2,0,3,0
"46","Adam Gotsis",5,1,0,0,0,0,0,0
"47","Adam Gotsis",6,0,0,0,0,0,1,0
"48","Adetokunbo Ogundeji",1,1,0,0,1,0,2,0
"49","Adetokunbo Ogundeji",2,1,0,0,0,0,4,0
"50","Adetokunbo Ogundeji",3,0,0,0,3,0,1,0
"51","Adetokunbo Ogundeji",4,2,0,0,1,0,0,0
"52","Adetokunbo Ogundeji",5,1,0,0,0,1,0,0
"53","Adetokunbo Ogundeji",7,1,0,0,0,0,0,0
"54","Adetokunbo Ogundeji",8,0,0,0,2,0,2,0
"55","Adetokunbo Ogundeji",9,0,0,0,0,0,1,0
"56","Adoree' Jackson",1,5,0,0,1,1,2,0
"57","Adoree' Jackson",2,2,0,0,1,0,1,0
"58","Adoree' Jackson",3,6,0,0,2,0,1,0
